Starting Year,dists,nondivint_dists,capgains_paid
10.0,750899.2974999999,590628.4474999999,147657.11187499994
11.0,750899.2974999999,601643.6074999999,56430.64399999994
12.0,750899.2974999999,611548.5074999998,24605.570299999963
13.0,750899.2974999999,621519.9574999999,19474.30756
14.0,750899.2974999999,632127.2274999999,14038.081011999951
15.0,750899.2974999999,643409.4174999999,8278.331702399977
16.0,750899.2974999999,655408.0974999999,71248.15184047994
17.0,750899.2974999999,673184.5974999999,5497.059868095999
18.0,750899.2974999999,691597.1874999999,4194.667473619153
19.0,750899.2974999999,710677.6774999999,2845.030994723784
20.0,750899.2974999999,730450.3174999999,2845.030994723784
