Starting Year,muni_start,muni_cost,muni_end_amt,net_int,eq_start,equity_cost,equity_end_amt,net_div
10.0,5293427.22,5020754.44,5346361.49,69603.44,6604142.88,5062387.32,5492662.17,83529.97
11.0,5346361.49,5020754.44,5399825.1,90043.29,5492662.17,5062387.32,4550775.0,88983.19
12.0,5399825.1,5020754.44,5453823.35,90342.52,4550775.0,4334071.429,3590424.03,73236.9
13.0,5453823.35,5020754.44,5508361.58,90506.69,3590424.03,3419451.4548,2575111.9,57313.57
14.0,5508361.58,5020754.44,5563445.2,90442.57,2575111.9,2452487.52396,1501644.65,40670.42
15.0,5563445.2,5020754.44,5619079.65,90028.03,1501644.65,1430137.763792,366642.21,23374.01
16.0,5619079.65,5020754.44,4752687.65,89040.1,366642.21,349183.06175839994,0.0,5588.5
17.0,4752687.65,4705631.337351681,3599897.23,72540.55,0.0,0.0,0.0,0.0
18.0,3599897.23,3564254.6864703363,2416788.43,51653.36,0.0,,0.0,0.0
19.0,2416788.43,2392859.8302940675,1220741.35,48214.34,0.0,,0.0,0.0
20.0,1220741.35,1208654.7990588138,,30820.69,0.0,,,0.0
